original,bids
TCST013,sub-hybrid01
TCST025,sub-hybrid02
TCST002,sub-hybrid03
TCST014,sub-hybrid04
TCST026,sub-hybrid05
TCST015,sub-hybrid06
TCST027,sub-hybrid07
TCST004,sub-hybrid08
TCST016,sub-hybrid09
TCST028,sub-hybrid10
TCST005,sub-hybrid11
TCST017,sub-hybrid12
TCST029,sub-hybrid13
TCST006,sub-hybrid14
TCST018,sub-hybrid15
TCST030,sub-hybrid16
TCST007,sub-hybrid17
TCST019,sub-hybrid18
TCST031,sub-hybrid19
TCST008,sub-hybrid20
TCST020,sub-hybrid21
TCST032,sub-hybrid22
TCST009,sub-hybrid23
TCST021,sub-hybrid24
TCST033,sub-hybrid25
TCST010,sub-hybrid26
TCST022,sub-hybrid27
TCST034,sub-hybrid28
TCST023,sub-hybrid29
TCST012,sub-hybrid30
TCST024,sub-hybrid31
