dataset,obj_id,memscore,obj_values
katherine,1,0.887068,15.0
katherine,2,0.834815,300.0
katherine,3,0.930309,50.0
katherine,4,0.859974,1.0
katherine,5,0.829425,25.0
katherine,6,0.873348,35.0
katherine,7,0.892828,5.0
katherine,8,0.825911,50.0
katherine,9,0.922807,5.0
katherine,10,0.803805,20.0
katherine,11,0.901436,10.0
katherine,12,0.936112,3.0
katherine,13,0.902917,100.0
katherine,14,0.898496,3.0
katherine,15,0.962761,3.0
katherine,16,0.953495,15.0
katherine,17,0.86114,300.0
katherine,18,0.836924,50.0
katherine,19,0.871724,100.0
katherine,20,0.865934,3.0
katherine,21,0.918501,1.0
katherine,22,0.916108,1.0
katherine,23,0.883235,500.0
katherine,24,0.903023,20.0
katherine,25,0.823871,500.0
katherine,26,0.885823,5.0
katherine,27,0.90795,5.0
katherine,28,0.923496,3.0
katherine,29,0.897976,20.0
katherine,30,0.813945,100.0
katherine,31,0.913949,5.0
katherine,32,0.86691,10.0
katherine,33,0.837583,15.0
katherine,34,0.84553,500.0
katherine,35,0.929769,20.0
katherine,36,0.835771,1.0
katherine,37,0.929824,20.0
katherine,38,0.901144,20.0
katherine,39,0.883493,5.0
katherine,40,0.848073,5.0
katherine,41,0.855036,20.0
katherine,42,0.892317,10.0
katherine,43,0.912631,20.0
katherine,44,0.805241,40.0
katherine,45,0.918546,5.0
katherine,46,0.880394,10.0
katherine,47,0.839937,300.0
katherine,48,0.919382,5.0
katherine,49,0.907636,80.0
katherine,50,0.920162,20.0
katherine,51,0.891937,20.0
katherine,52,0.901182,3.0
katherine,53,0.852429,1.0
katherine,54,0.879898,1.0
katherine,55,0.855119,3.0
katherine,56,0.90279,10.0
katherine,57,0.896674,10.0
katherine,58,0.87577,10.0
katherine,59,0.910893,20.0
katherine,60,0.838812,30.0
katherine,61,0.919183,10.0
katherine,62,0.895449,5.0
katherine,63,0.936929,1.0
katherine,64,0.845799,1.0
katherine,65,0.890228,10.0
katherine,66,0.925027,10.0
katherine,67,0.93136,20.0
katherine,68,0.931485,8.0
katherine,69,0.904151,50.0
katherine,70,0.901929,5.0
katherine,71,0.914078,1.0
katherine,72,0.908758,80.0
katherine,73,0.855175,1.0
katherine,74,0.851438,70.0
katherine,75,0.852192,200.0
katherine,76,0.858821,20.0
katherine,77,0.808618,2.0
katherine,78,0.894527,20.0
katherine,79,0.758451,100.0
katherine,80,0.93513,80.0
katherine,81,0.902584,500.0
katherine,82,0.872407,35.0
katherine,83,0.83523,500.0
katherine,84,0.89816,50.0
katherine,85,0.832331,100.0
katherine,86,0.88539,50.0
katherine,87,0.91232,60.0
katherine,88,0.896144,100.0
katherine,89,0.924031,4.0
katherine,90,0.925492,1.0
katherine,91,0.821326,100.0
katherine,92,0.896142,100.0
katherine,93,0.928958,10.0
katherine,94,0.935417,10.0
katherine,95,0.845042,200.0
katherine,96,0.929188,10.0
katherine,97,0.905051,20.0
katherine,98,0.877302,8.0
katherine,99,0.945522,10.0
katherine,100,0.862252,35.0
katherine,101,0.87476,100.0
katherine,102,0.878886,10.0
katherine,103,0.927278,10.0
katherine,104,0.858972,100.0
katherine,105,0.92081,20.0
katherine,106,0.9026,10.0
katherine,107,0.902939,5.0
katherine,108,0.846494,5.0
katherine,109,0.886767,20.0
katherine,110,0.90048,20.0
katherine,111,0.923918,40.0
katherine,112,0.891299,50.0
katherine,113,0.859682,30.0
katherine,114,0.860066,100.0
katherine,115,0.891828,10.0
katherine,116,0.874784,100.0
katherine,117,0.983227,5.0
katherine,118,0.765051,100.0
katherine,119,0.926035,40.0
katherine,120,0.843481,200.0
katherine,121,0.90503,5.0
katherine,122,0.890821,10.0
katherine,123,0.896743,5.0
katherine,124,0.899624,10.0
katherine,125,0.945095,10.0
katherine,126,0.878337,100.0
katherine,127,0.900019,100.0
katherine,128,0.86358,150.0
katherine,129,0.860113,20.0
katherine,130,0.896349,1.0
katherine,131,0.960999,3.0
katherine,132,0.904957,5.0
katherine,133,0.908139,1.0
katherine,134,0.919499,10.0
katherine,135,0.853848,1.0
katherine,136,0.888853,15.0
katherine,137,0.935944,1.0
katherine,138,0.816429,1.0
katherine,139,0.875493,10.0
katherine,140,0.867283,15.0
katherine,141,0.896679,4.0
katherine,142,0.791619,50.0
katherine,143,0.852822,30.0
katherine,144,0.907653,1.0
katherine,145,0.879518,10.0
katherine,146,0.854906,10.0
katherine,147,0.868206,40.0
katherine,148,0.884797,5.0
katherine,149,0.900118,100.0
katherine,150,0.88431,30.0
katherine,151,0.831377,90.0
katherine,152,0.935391,15.0
katherine,153,0.90715,5.0
katherine,154,0.955716,30.0
katherine,155,0.873726,5.0
katherine,156,0.78676,500.0
katherine,157,0.931612,20.0
