"Sub","Run","Trial","OldT","Delay","LuckyDeck","ObjPP","OldObjLuckyDeck","ObjDeckMatch","Outcome","Resp","RT","DeckC","LuckyDeckC","OldObjC","RevT","OldDeckPP","OldDeck","EncRevT","Enc_Pay1","OptObj","PP","StayResp","DeckUnC","ObjPP_C","ChooseRed","LuckRed","OldRed","OldValRed","pre_post_rev","pre_post_rev_enc","Q_chosen_norm","Q_unchosen_norm","Q_diff_norm","PE_norm","Q_chosen","Q_unchosen","Q_diff","Q_red","Q_blue","PE","Inc_lik","Ep_lik","Inc_lik_norm","Ep_lik_norm","Lik_rat","Ep_lik_enc","Ep_lik_norm_enc","encT","Lik_rat_norm"
2,1,1,0,NA,1,NA,NA,NA,0,2,682.994828006485,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,0,0,-0.5,0,0,-0.5,NA,-0.00839618262251095,0.0921289661773854,-0.0620118649191499,-1.38736505910088,0.5,0.5,0,0.5,0.5,-0.5,-0.678421716178907,NA,0.193491336406358,NA,NA,-0.652705779021752,0.466242033383118,1,NA
2,1,2,0,NA,1,NA,NA,NA,0.4,1,752.208798003267,2,0,NA,2,NA,NA,NA,NA,NA,0,0,1,0,1,-0.5,0,0,-0.5,NA,-0.00839618262251095,-1.06893953032016,0.654982718784705,-0.276763930200058,0.5,0.267000494192552,0.232999505807448,0.5,0.267000494192552,-0.1,-0.655344928436433,NA,0.47576671733667,NA,NA,-0.658216264015531,0.409744562282995,1,NA
2,1,3,0,NA,1,NA,NA,NA,0.6,1,459.360705004656,1,1,NA,3,NA,NA,NA,NA,NA,0.4,0,2,0,0,-0.5,0,0,-0.5,NA,-1.18430302733172,-0.140084733122124,-0.635607531882234,0.925460419708062,0.267000494192552,0.45340009883851,-0.186399604645958,0.45340009883851,0.267000494192552,0.332999505807448,-0.724548809078375,NA,-0.370735490338721,NA,NA,-0.616333994093579,0.839151835362328,1,NA
2,1,4,0,NA,1,NA,NA,NA,1,1,817.894357998739,1,1,NA,4,NA,NA,NA,NA,NA,0.6,1,2,0,0,-0.5,0,0,-0.5,NA,-0.328062318378404,-0.140084733122124,-0.113525401457955,1.56500171662359,0.436659904660289,0.45340009883851,-0.0167401941782212,0.45340009883851,0.436659904660289,0.563340095339711,-0.684246703100232,NA,0.122240067794789,NA,NA,-0.544214183311927,1.57857621089063,1,NA
2,1,5,0,NA,1,NA,NA,NA,1,2,600.517386992578,1,1,NA,5,NA,NA,NA,NA,NA,1,1,2,0,0,-0.5,0,0,-0.5,NA,0.987007349888848,-0.140084733122124,0.688321984313506,0.841517665345317,0.697233762349167,0.45340009883851,0.243833663510657,0.45340009883851,0.697233762349167,0.302766237650833,-0.624232922405797,NA,0.856328927805862,NA,NA,-0.891770800949236,-1.98482519257752,1,NA
2,1,6,0,NA,1,NA,NA,NA,0.2,1,691.732658990077,1,1,NA,6,NA,NA,NA,NA,NA,1,1,2,0,0,-0.5,0,0,-0.5,NA,1.61501313276771,-0.140084733122124,1.07124070520095,-1.72518124482915,0.821669671293279,0.45340009883851,0.368269572454769,0.45340009883851,0.821669671293279,-0.621669671293279,-0.595792270316526,NA,1.20421512375287,NA,NA,-0.692658898771932,0.0566138008420545,1,NA
2,1,7,0,NA,1,NA,NA,NA,0.6,2,659.08868900442,2,0,NA,7,NA,NA,NA,NA,NA,0.2,0,1,0,1,-0.5,0,0,-0.5,NA,-0.243577551564352,0.164983591847393,-0.250400695830137,0.407921391341893,0.45340009883851,0.514620232852846,-0.0612201340143359,0.45340009883851,0.514620232852846,0.14659990116149,-0.729195985924033,NA,-0.427579780323859,NA,NA,-0.616333994093579,0.839151835362328,1,NA
2,1,8,0,NA,1,NA,NA,NA,0.4,1,770.76883900736,2,0,NA,8,NA,NA,NA,NA,NA,0.6,1,1,0,1,-0.5,0,0,-0.5,NA,0.115815685379784,0.164983591847393,-0.0312651363526649,-0.345098945178808,0.52461190186125,0.514620232852846,0.0099916690084032,0.52461190186125,0.514620232852846,-0.124611901861249,-0.711744079074527,NA,-0.21410797008409,NA,NA,-0.658216264015531,0.409744562282995,1,NA
2,1,9,0,NA,1,NA,NA,NA,0.2,1,559.015516992076,1,1,NA,9,NA,NA,NA,NA,NA,0.4,0,2,0,0,-0.5,0,0,-0.5,NA,0.0653895184386405,-0.0880744810309237,0.0942590770309761,-0.872657612428377,0.514620232852846,0.463837349587046,0.0507828832658,0.463837349587046,0.514620232852846,-0.314620232852846,-0.663869763228517,NA,0.371490896318718,NA,NA,-0.692658898771932,0.0566138008420545,1,NA
2,1,10,0,NA,1,NA,NA,NA,0,2,702.288237996981,2,0,NA,10,NA,NA,NA,NA,NA,0.2,0,1,0,1,-0.5,0,0,0.5,NA,-0.190902613252285,-0.524948019275059,0.207770634243892,-1.2869593581692,0.463837349587046,0.376166967677369,0.0876703819096772,0.463837349587046,0.376166967677369,-0.463837349587046,-0.691056279342654,NA,0.0389452977750483,NA,NA,-0.753852180290264,-0.57078390698349,1,NA
2,1,11,0,NA,1,NA,NA,NA,0.4,2,1144.71003899234,1,1,NA,11,NA,NA,NA,NA,NA,0,0,2,0,0,-0.5,0,0,0.5,NA,-0.633359354989135,-1.1536596723659,0.326236417880231,0.0670588335317553,0.376166967677369,0.249999127530601,0.126167840146768,0.249999127530601,0.376166967677369,0.023833032322631,-0.647212519605518,NA,0.575242382071529,NA,NA,-0.736551070309347,-0.3934004348843,1,NA
2,1,12,0,NA,1,NA,NA,NA,0.6,1,625.629000001936,1,1,NA,12,NA,NA,NA,NA,NA,0.4,1,2,0,0,-0.5,0,0,0.5,NA,-0.515095790336431,-1.1536596723659,0.398346156578511,0.55729683518556,0.399600245783613,0.249999127530601,0.149601118253012,0.249999127530601,0.399600245783613,0.200399754216387,-0.643383070046256,NA,0.622084227875931,NA,NA,-0.616333994093579,0.839151835362328,1,NA
2,1,13,1,10,1,0.6,0,0,0.6,2,954.110524995485,1,1,1,13,0.6,1,3,0.4,1,0.6,1,2,0.1,0,-0.5,-0.5,-0.1,0.5,-0.5,-0.0152752052595437,-1.1536596723659,0.703105546266766,0.282321120567971,0.498636959311804,0.249999127530601,0.248637831781202,0.249999127530601,0.498636959311804,0.101363040688196,-0.622104753855642,-0.616333994093579,0.882360695956739,0.839151835362328,-0.00577075976206209,NA,NA,0,-0.058769361568435
2,1,14,1,12,1,0.4,1,0,0.4,1,1000.76265000098,2,0,1,14,0,2,2,0,0,0.6,0,1,-0.1,1,-0.5,0.5,-0.1,0.5,-0.5,-1.27010588497263,0.308826365383889,-0.965140811206366,0.4173641977767,0.249999127530601,0.543486139773134,-0.293487012242532,0.249999127530601,0.543486139773134,0.150000872469399,-0.787584412458566,-0.658216264015531,-1.14178730027352,0.409744562282995,-0.129368148443035,NA,NA,0,-1.04220078097955
2,1,15,1,11,1,1,0,0,1,2,618.862502000411,1,1,1,15,0.6,1,4,0.6,1,0.4,0,2,0.5,0,-0.5,-0.5,-0.5,0.5,-0.5,0.211070589343383,-0.732550903998334,0.581069799936737,1.26839837334222,0.543486139773134,0.334505885931856,0.208980253841277,0.334505885931856,0.543486139773134,0.456513860226866,-0.628736443054478,-0.544214183311927,0.80124184112723,1.57857621089063,-0.0845222597425509,NA,NA,0,-0.685374019102665
2,1,16,0,NA,1,NA,NA,NA,0.2,1,1172.10318800062,1,1,NA,16,NA,NA,NA,NA,NA,1,1,2,0,0,-0.5,0,0,0.5,NA,1.26572887331035,-0.732550903998334,1.224134580676,-1.53302291498728,0.752460906835403,0.334505885931856,0.417955020903547,0.334505885931856,0.752460906835403,-0.552460906835403,-0.584151059975718,NA,1.34661046577846,NA,NA,-0.692658898771932,0.0566138008420545,1,NA
2,1,17,0,NA,1,NA,NA,NA,0.8,1,1195.43103799515,1,1,NA,17,NA,NA,NA,NA,NA,0.2,1,2,0,0,-0.5,0,0,0.5,NA,-0.109795299267841,-0.732550903998334,0.385425812264853,0.889621805004745,0.479908319971115,0.334505885931856,0.145402434039258,0.334505885931856,0.479908319971115,0.320091680028885,-0.640896048325916,NA,0.65250548976581,NA,NA,-0.836187719252394,-1.41494730426667,1,NA
2,1,18,1,17,2,0,1,0,0.6,2,1045.11750899837,2,1,0,1,0.8,1,1,NA,1,0.8,0,1,0,1,0.5,-0.5,0.5,-0.5,-0.5,-0.843615385416184,0.774499289958749,-0.992660512864233,0.738031509026654,0.334505885931856,0.636935890258273,-0.302430004326417,0.334505885931856,0.636935890258273,0.265494114068144,-0.793402312679264,-0.652705779021752,-1.21295188432824,0.466242033383118,-0.140696533657511,NA,NA,0,-1.13233771728541
2,1,19,1,10,2,0.2,1,0,0.8,1,1021.7421129928,2,1,0,2,0.8,1,9,0.4,1,0.6,1,1,0,1,0.5,-0.5,0.3,-0.5,-0.5,-0.201490692902897,0.774499289958749,-0.601132962305257,0.940067919360083,0.461739379550438,0.636935890258273,-0.175196510707835,0.461739379550438,0.636935890258273,0.338260620449562,-0.759446322092337,-0.692658898771932,-0.79760204080779,0.0566138008420545,-0.0667874233204051,NA,NA,0,-0.544262661154213
2,1,20,1,14,2,0.2,1,0,0.4,1,1345.23219100083,2,1,0,3,0.8,1,6,1,1,0.8,1,1,0,1,0.5,-0.5,0.3,-0.5,-0.5,0.568446230554441,0.774499289958749,-0.131673492453259,-0.594113114129061,0.614298167243208,0.636935890258273,-0.0226377230150653,0.614298167243208,0.636935890258273,-0.214298167243208,-0.719356944954255,-0.692658898771932,-0.307228582890023,0.0566138008420545,-0.0266980461823233,NA,NA,0,-0.225282191720716
2,1,21,1,14,2,0.6,0,0,0.6,1,986.558874996263,2,1,1,4,0.4,2,7,0.2,1,0.4,1,1,0.1,1,0.5,0.5,0.1,-0.5,-0.5,0.00428627202859736,0.774499289958749,-0.475663015454676,0.271559396547631,0.502512958980917,0.636935890258273,-0.134422931277356,0.502512958980917,0.636935890258273,0.0974870410190831,-0.746266401239152,-0.616333994093579,-0.636385184242581,0.839151835362328,-0.129932407145573,NA,NA,0,-1.04669043681025
2,1,22,1,10,2,0.6,1,1,0.6,2,1266.79131800483,1,0,1,5,0.8,1,12,0.4,1,0.6,0,2,0.1,0,0.5,-0.5,-0.1,-0.5,0.5,0.682694770909909,0.330874310001261,0.211939851783829,-0.10166625151934,0.636935890258273,0.547910650657215,0.0890252396010576,0.547910650657215,0.636935890258273,-0.0369358902582729,-0.656352496470006,-0.616333994093579,0.463442140204709,0.839151835362328,-0.0400185023764268,NA,NA,0,-0.331269504899181
